file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i3_c6.npy,0.0104,0.0087,0.0088,0.0095,3,c6,0.49133333333333334,0.006002962231728218,0.4848991095686345,0.012219515517068074,0.3024,0.08363093526520755
i3_c7.npy,0.008,0.0086,0.0056,0.0097,3,c7,0.4802666666666666,0.005795017016560199,0.47249722038714714,0.010062521741453952,0.35546666666666665,0.10253289986904472
i3_g.npy,0.0065,0.0089,,,3,g,0.4996916666666667,0.003950465865636056,0.4989954604809854,0.005395608152700945,0.3755333333333333,0.08954910508889645
i4_c0.npy,0.008,0.0092,0.0088,0.0084,4,c0,0.4962666666666667,0.005244256117145885,0.49512367538167057,0.008402836444083458,0.3652,0.09410093871299408
i4_c1.npy,0.0104,0.0086,0.0144,0.0144,4,c1,0.5031333333333333,0.006116280641769869,0.5030708230395841,0.010434469309416418,0.32,0.11138785092339887
i4_c2.npy,0.0056,0.0089,0.0048,0.0078,4,c2,0.5017999999999999,0.002964231210055425,0.5024067787339345,0.003359546815885367,0.4810666666666667,0.16273965575592064
i4_c3.npy,0.0024,0.0088,0.008,0.0082,4,c3,0.5062666666666668,0.004205816078823346,0.5176451931282483,0.01156547364494937,0.21306666666666665,0.06622090975582326
i4_c4.npy,0.0056,0.0089,0.0072,0.0073,4,c4,0.5013333333333332,0.0037923900408874515,0.5012590360899224,0.006298274619359485,0.40186666666666665,0.17096848312546445
i4_c5.npy,0.0064,0.0089,0.0104,0.0153,4,c5,0.5019333333333333,0.002997035572398532,0.5028078257490699,0.00597866109249824,0.2966666666666667,0.06198394057244899
i4_c6.npy,0.0056,0.009,0.0064,0.0103,4,c6,0.5036666666666666,0.004178782385123947,0.5055994819562991,0.006008983107211782,0.33346666666666663,0.06788761955532754
i4_c7.npy,0.0072,0.009,0.012,0.0096,4,c7,0.49193333333333333,0.006983472552311559,0.4839323141627529,0.011648631324493704,0.23093333333333332,0.09174883589936654
i4_g.npy,0.0101,0.0099,,,4,g,0.5011833333333333,0.002123218207240036,0.5013722313117523,0.0024827482382449575,0.29828333333333334,0.08501506565832252
i5_c0.npy,0.0104,0.0103,0.0104,0.0091,5,c0,0.5002,0.00562257355072688,0.49994764348601217,0.008860221456423907,0.3288,0.10089625034327754
i5_c1.npy,0.0096,0.0104,0.008,0.0066,5,c1,0.5057333333333333,0.004869861964733217,0.5093908752383021,0.007202066795404205,0.3557333333333333,0.11266343190622628
i5_c2.npy,0.008,0.0104,0.0128,0.013,5,c2,0.49779999999999996,0.0035308167138307597,0.4955107109163386,0.00836234476355168,0.21533333333333335,0.08044465316117799
