,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i6_c32.npy,1.0,0.3146,0.2179487179487179,0.1889,6,c32,0.48824786324786323,0.0023889615144228643,0.4748432643169485,0.0052343015265985315,0.22222222222222224,0.0060436477024491285
i6_c33.npy,1.0,0.3246,0.2179487179487179,0.162,6,c33,0.5245726495726496,0.005753381204203547,0.5575214867978026,0.015190853348840423,0.24145299145299148,0.011506762408407045
i6_c34.npy,1.0,0.31,0.2307692307692307,0.1697,6,c34,0.5566239316239315,0.002388961514422844,0.6607827038861521,0.009048804388267863,0.23290598290598294,0.004777923028845697
i6_c35.npy,1.0,0.3128,0.2051282051282051,0.1681,6,c35,0.548076923076923,0.007166884543268572,0.6300865800865801,0.024544283828533985,0.23504273504273507,0.0060436477024491154
i6_c36.npy,1.0,0.3193,0.1538461538461538,0.1538,6,c36,0.5384615384615384,0.00370096326403605,0.6431746031746032,0.011391031820958193,0.17307692307692304,0.014333769086537114
i6_c37.npy,1.0,0.3216,0.2435897435897435,0.1598,6,c37,0.517094017094017,0.004777923028845729,0.5374649374649373,0.01105373629367238,0.24786324786324787,0.0060436477024491154
i6_c38.npy,1.0,0.3128,0.1794871794871795,0.1552,6,c38,0.5096153846153846,0.007166884543268573,0.5259820426487093,0.01823620815446472,0.19230769230769232,0.018130943107347374
i6_c39.npy,1.0,0.3285,0.1794871794871795,0.2088,6,c39,0.5032051282051282,0.007166884543268573,0.5075757575757576,0.016939908920452936,0.1901709401709402,0.018749923904684027
i6_c40.npy,1.0,0.3149,0.2564102564102564,0.1936,6,c40,0.5352564102564102,0.004895914204012633,0.5801597051597052,0.007023210589114467,0.25427350427350426,0.015555790361710507
i6_c41.npy,1.0,0.3167,0.2051282051282051,0.1505,6,c41,0.5448717948717948,0.01110288979210818,0.6246141975308642,0.030895528079508364,0.2264957264957265,0.014173610215194008
i6_c42.npy,1.0,0.3131,0.1794871794871795,0.1331,6,c42,0.5384615384615383,0.011703473450965087,0.6253096742227177,0.04563939622512132,0.20299145299145296,0.018749923904684017
i6_c43.npy,1.0,0.3224,0.1538461538461538,0.1703,6,c43,0.4551282051282051,0.007401926528072131,0.3925561506206668,0.01641812329671459,0.16452991452991453,0.015555790361710507
i6_c44.npy,1.0,0.3159,0.2051282051282051,0.1658,6,c44,0.5662393162393162,0.011506762408407057,0.6879273504273504,0.03188077867989758,0.2435897435897436,0.01958365681605059
i6_c45.npy,1.0,0.3247,0.1666666666666666,0.1615,6,c45,0.5117521367521367,0.002388961514422844,0.5372744539411205,0.00846916380899191,0.17094017094017092,0.0060436477024491285
i6_c46.npy,1.0,0.3136,0.1153846153846153,0.1694,6,c46,0.47222222222222227,0.0030218238512245512,0.40606060606060607,0.004285495643554835,0.11965811965811966,0.0060436477024491154
i6_c47.npy,1.0,0.3219,0.1666666666666666,0.1725,6,c47,0.48931623931623935,0.0030218238512245777,0.47062874092907464,0.008976139685883061,0.17307692307692304,0.009791828408025307
i6_c48.npy,1.0,0.2992,0.1923076923076923,0.1647,6,c48,0.4946581196581197,0.007777895180855253,0.4875222816399287,0.018243751774027386,0.19444444444444445,0.004777923028845697
i6_c49.npy,1.0,0.3104,0.2435897435897435,0.1566,6,c49,0.5512820512820512,0.003700963264036082,0.6249249249249249,0.014222318602059579,0.2585470085470085,0.021474093207523276
